Park Name,Category,count,Nativeness
Katmai National Park and Preserve,Nonvascular Plant,2,Native
Katmai National Park and Preserve,Vascular Plant,704,Native
Katmai National Park and Preserve,Vascular Plant,16,Not Native
Kenai Fjords National Park,Amphibian,1,Native
Kenai Fjords National Park,Bird,142,Native
Kenai Fjords National Park,Bird,1,Not Native
Kenai Fjords National Park,Fish,40,Native
Kenai Fjords National Park,Mammal,50,Native
Kenai Fjords National Park,Mammal,3,Not Native
Kenai Fjords National Park,Vascular Plant,628,Native
Kenai Fjords National Park,Vascular Plant,29,Not Native
Kobuk Valley National Park,Bird,125,Native
Kobuk Valley National Park,Fish,26,Native
Kobuk Valley National Park,Mammal,36,Native
Kobuk Valley National Park,Vascular Plant,475,Native
Lake Clark National Park and Preserve,Bird,180,Native
Lake Clark National Park and Preserve,Bird,1,Not Native
Lake Clark National Park and Preserve,Fish,54,Native
Lake Clark National Park and Preserve,Fish,1,Not Native
Lake Clark National Park and Preserve,Mammal,48,Native
Lake Clark National Park and Preserve,Nonvascular Plant,1,Native
Lake Clark National Park and Preserve,Vascular Plant,1112,Native
Lake Clark National Park and Preserve,Vascular Plant,64,Not Native
Lassen Volcanic National Park,Algae,1,Native
Lassen Volcanic National Park,Amphibian,5,Native
Lassen Volcanic National Park,Amphibian,1,Not Native
Lassen Volcanic National Park,Bird,231,Native
Lassen Volcanic National Park,Bird,11,Not Native
Lassen Volcanic National Park,Crab/Lobster/Shrimp,11,Native
Lassen Volcanic National Park,Fish,8,Not Native
Lassen Volcanic National Park,Fungi,3,Native
Lassen Volcanic National Park,Insect,7,Native
Lassen Volcanic National Park,Invertebrate,10,Native
Lassen Volcanic National Park,Mammal,74,Native
Lassen Volcanic National Park,Mammal,2,Not Native
Lassen Volcanic National Park,Nonvascular Plant,14,Native
Lassen Volcanic National Park,Reptile,20,Native
Lassen Volcanic National Park,Slug/Snail,3,Native
Lassen Volcanic National Park,Vascular Plant,828,Native
Lassen Volcanic National Park,Vascular Plant,67,Not Native
Mammoth Cave National Park,Amphibian,31,Native
Mammoth Cave National Park,Bird,205,Native
Mammoth Cave National Park,Bird,4,Not Native
Mammoth Cave National Park,Fish,114,Native
Mammoth Cave National Park,Fish,4,Not Native
Mammoth Cave National Park,Insect,19,Native
Mammoth Cave National Park,Mammal,48,Native
Mammoth Cave National Park,Mammal,4,Not Native
Mammoth Cave National Park,Reptile,41,Native
Mammoth Cave National Park,Vascular Plant,1358,Native
Mammoth Cave National Park,Vascular Plant,222,Not Native
Mesa Verde National Park,Amphibian,7,Native
Mesa Verde National Park,Bird,230,Native
Mesa Verde National Park,Bird,6,Not Native
Mesa Verde National Park,Mammal,79,Native
Mesa Verde National Park,Mammal,5,Not Native
Mesa Verde National Park,Reptile,19,Native
Mesa Verde National Park,Reptile,1,Not Native
Mesa Verde National Park,Vascular Plant,766,Native
Mesa Verde National Park,Vascular Plant,118,Not Native
Mount Rainier National Park,Amphibian,16,Native
Mount Rainier National Park,Bird,179,Native
